id;federal_subject;boundary_name
00000000100006;Приморский край;Оренбургская область
00000000108822;Ростовская область;Ивановская область
00000000116895;Краснодарский край;Калужская область
00000000116898;Краснодарский край;Новосибирская область
00000000116905;Республика Адыгея;Москва
00000000121128;Челябинская область;Архангельская область
00000000123598;Республика Коми;Ростовская область
00000000123946;Краснодарский край;Москва
00000000143608;Ленинградская область;Новосибирская область
00000000146723;Краснодарский край;Новосибирская область
00000000156685;Республика Адыгея;Кемеровская область
00000000160590;Краснодарский край;Алтайский край
00000000167509;Краснодарский край;Иркутская область
00000000169355;Рязанская область;Краснодарский край
00000000172198;Краснодарский край;Москва
00000000179716;Санкт-Петербург;Московская область
00000000179717;Санкт-Петербург;Московская область
00000000179726;Санкт-Петербург;Ленинградская область
00000000179737;Санкт-Петербург;Волгоградская область
00000000179738;Санкт-Петербург;Иркутская область
00000000180839;Саратовская область;Республика Дагестан
00000000187789;Санкт-Петербург;Москва
00000000198330;Челябинская область;Воронежская область
00000000204997;Саратовская область;Калужская область
00000000214700;Краснодарский край;Новосибирская область
00000000215007;Санкт-Петербург;Московская область
00000000215117;Саратовская область;Республика Дагестан
00000000227387;Санкт-Петербург;Ленинградская область
00000000248792;Санкт-Петербург;Ленинградская область
00000000254230;Санкт-Петербург;Ульяновская область
00000000254235;Санкт-Петербург;Калужская область
00000000264604;Саратовская область;Ленинградская область
00000000267808;Республика Коми;Кировская область
00000000274941;Санкт-Петербург;Ленинградская область
00000000288471;Московская область;Кировская область
00000000291107;Хабаровский край;Свердловская область
00000000294228;РФ;Санкт-Петербург
00000000297579;Ростовская область;Республика Дагестан
00000000303504;Краснодарский край;Ставропольский край
00000000306226;Тверская область;Республика Дагестан
00000000310974;Краснодарский край;Алтайский край
00000000334706;Оренбургская область;Тверская область
00000000334708;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334713;РФ;Республика Татарстан
00000000334716;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334718;Оренбургская область;Республика Татарстан
00000000334721;Оренбургская область;Краснодарский край
00000000334725;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334730;Оренбургская область;Республика Татарстан
00000000334733;Оренбургская область;Республика Татарстан
00000000334734;Оренбургская область;Ярославская область
00000000334738;Оренбургская область;Республика Татарстан
00000000334745;Оренбургская область;Республика Алтай
00000000334758;Оренбургская область;Республика Татарстан
00000000334764;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334772;Оренбургская область;Республика Алтай
00000000334774;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334778;Оренбургская область;Республика Татарстан
00000000334784;Оренбургская область;Алтайский край
00000000334788;Оренбургская область;Республика Татарстан
00000000334789;Оренбургская область;Республика Татарстан
00000000334793;Оренбургская область;Республика Татарстан
00000000334835;Оренбургская область;Алтайский край
00000000334839;Оренбургская область;Калужская область
00000000334842;Оренбургская область;Республика Татарстан
00000000334843;Оренбургская область;Ханты-Мансийский автономный округ — Югра
00000000334846;Оренбургская область;Тверская область
00000000334853;Оренбургская область;Республика Татарстан
00000000370747;Санкт-Петербург;Кабардино-Балкария
00000000394968;РФ;Республика Дагестан
00000000421373;Саратовская область;Ивановская область
00000000421674;РФ;Санкт-Петербург
00000000447688;Ленинградская область;Хабаровский край
00000000447689;Ленинградская область;Кемеровская область
00000000461932;Краснодарский край;Новосибирская область
00000000461934;Краснодарский край;Новосибирская область
00000000477419;Краснодарский край;Карачаево-Черкесия
00000000479807;Оренбургская область;Москва
00000000482756;Ставропольский край;Республика Дагестан
00000000484393;Краснодарский край;Иркутская область
00000000487646;Калининградская область;Ставропольский край
00000000492667;Кировская область;Ростовская область
00000000497453;Санкт-Петербург;Ленинградская область
00000000502811;Москва;Московская область
00000000505928;Приморский край;Тамбовская область
00000000505930;Приморский край;Республика Дагестан
00000000505931;Приморский край;Республика Мордовия
00000000505938;Приморский край;Рязанская область
00000000505944;Приморский край;Республика Мордовия
00000000510686;Краснодарский край;Ставропольский край
00000000512401;Краснодарский край;Алтайский край
00000000513754;Краснодарский край;Иркутская область
00000000514948;Краснодарский край;Ставропольский край
00000000519730;Санкт-Петербург;Алтайский край
00000000520476;Краснодарский край;Ростовская область
00000000524080;Санкт-Петербург;Ленинградская область
00000000525993;Ростовская область;Рязанская область
00000000525996;Ростовская область;Калужская область
00000000527915;Рязанская область;Свердловская область
00000000571937;Тамбовская область;Кировская область
00000000575464;Москва;Краснодарский край
00000000575467;Санкт-Петербург;Удмуртская республика
00000000575516;Краснодарский край;Иркутская область
00000000575531;Краснодарский край;Алтайский край
00000000575546;Воронежская область;Москва
00000000575566;Свердловская область;Кировская область
00000000575570;Чувашская республика;Ставропольский край
00000000575607;Ямало-Ненецкий автономный округ;Москва
00000000575608;Ямало-Ненецкий автономный округ;Новосибирская область
00000000575612;Ямало-Ненецкий автономный округ;Москва
00000000575665;Республика Карелия;Новосибирская область
00000000575695;Севастополь;Севастополь
00000000575704;Ставропольский край;Иркутская область
00000000575763;Кировская область;Свердловская область
00000000575776;Воронежская область;Ставропольский край
00000000000307;Москва;Московская область
00000000000332;Москва;Ленинградская область
00000000000336;Москва;Ростовская область
00000000000592;Республика Марий Эл;Республика Татарстан
00000000000640;Сахалинская область;Республика Дагестан
00000000000772;Нижегородская область;Ставропольский край
00000000000812;Нижегородская область;Ставропольский край
00000000000942;Забайкальский край;Республика Саха (Якутия)
00000000000946;РФ;Забайкальский край
00000000000952;Забайкальский край;Краснодарский край
00000000000957;РФ;Забайкальский край
00000000001530;Алтайский край;Липецкая область
00000000001890;Новосибирская область;Свердловская область
00000000001931;Новосибирская область;Свердловская область
00000000002594;Республика Карелия;Ставропольский край
00000000002601;Республика Карелия;Ставропольский край
00000000002700;Республика Карелия;Ставропольский край
00000000002799;Республика Карелия;Алтайский край
00000000002960;Забайкальский край;Удмуртская республика
00000000003025;Краснодарский край;Ленинградская область
00000000003032;Краснодарский край;Алтайский край
00000000003349;Забайкальский край;Кировская область
00000000003356;Забайкальский край;Тюменская область
00000000003360;Забайкальский край;Москва
00000000003391;Сахалинская область;Ростовская область
00000000003393;Москва;Ростовская область
00000000005016;Новосибирская область;Свердловская область
00000000005139;Астраханская область;Иркутская область
00000000005216;Магаданская область;Орловская область
00000000006053;РФ;Забайкальский край
00000000006178;Оренбургская область;Челябинская область
00000000006206;РФ;Оренбургская область
00000000006207;Оренбургская область;Новосибирская область
00000000006222;Оренбургская область;Республика Башкортостан
00000000006282;Ростовская область;Нижегородская область
00000000007655;Краснодарский край;Новосибирская область
00000000007941;Краснодарский край;Новосибирская область
00000000007945;Краснодарский край;Новосибирская область
00000000007947;Краснодарский край;Алтайский край
00000000007948;Краснодарский край;Ставропольский край
00000000007950;Краснодарский край;Ставропольский край
00000000008118;РФ;Алтайский край
00000000008804;РФ;Москва
00000000008810;Москва;Пермский край
00000000008849;Москва;Томская область
00000000008869;Чувашская республика;Республика Дагестан
00000000008870;Чувашская республика;Челябинская область
00000000008877;Москва;Калужская область
00000000008900;РФ;Московская область
00000000008939;Москва;Пермский край
00000000008954;Москва;Хабаровский край
00000000008964;Москва;Пермский край
00000000008972;Москва;Пермский край
00000000008986;Москва;Пермский край
00000000009076;Москва;Московская область
00000000009130;РФ;Москва
00000000009192;Москва;Пермский край
00000000009194;Москва;Московская область
00000000009199;Москва;Кировская область
00000000009258;Москва;Владимирская область
00000000009600;Челябинская область;Республика Карелия
00000000009602;Челябинская область;Республика Карелия
00000000009633;Челябинская область;Иркутская область
00000000009634;Челябинская область;Ярославская область
00000000009756;Челябинская область;Свердловская область
00000000009809;Челябинская область;Красноярский край
00000000009959;Челябинская область;Волгоградская область
00000000009979;Челябинская область;Архангельская область
00000000009987;Челябинская область;Ивановская область
00000000010017;Челябинская область;Архангельская область
00000000010020;Челябинская область;Иркутская область
00000000010182;Челябинская область;Липецкая область
00000000010190;Челябинская область;Кемеровская область
00000000010273;Оренбургская область;Республика Марий Эл
00000000011558;РФ;Республика Тыва
00000000012355;Забайкальский край;Москва
00000000012359;Забайкальский край;Московская область
00000000012480;Краснодарский край;Ставропольский край
00000000012812;Челябинская область;Вологодская область
00000000013178;Челябинская область;Ленинградская область
00000000013179;Челябинская область;Республика Марий Эл
00000000013345;Забайкальский край;Воронежская область
00000000013349;Забайкальский край;Ленинградская область
00000000013368;Забайкальский край;Республика Хакасия
00000000013372;Забайкальский край;Москва
00000000013375;Забайкальский край;Нижегородская область
00000000013376;Забайкальский край;Москва
00000000013377;Забайкальский край;Белгородская область
00000000013652;Московская область;Ростовская область
00000000013658;РФ;Московская область
00000000013968;Мурманская область;Калининградская область
00000000014310;Рязанская область;Алтайский край
00000000014903;Забайкальский край;Орловская область
00000000014904;Забайкальский край;Красноярский край
00000000014905;Забайкальский край;Красноярский край
00000000014910;Забайкальский край;Красноярский край
00000000014928;Забайкальский край;Красноярский край
00000000016052;Астраханская область;Самарская область
00000000016215;Москва;Владимирская область
00000000016223;Москва;Владимирская область
00000000016232;Москва;Пермский край
00000000016233;Москва;Московская область
00000000016234;Москва;Тверская область
00000000016244;Москва;Московская область
00000000016248;Москва;Владимирская область
00000000016256;Москва;Московская область
00000000016260;Москва;Владимирская область
00000000016261;Москва;Московская область
00000000016273;Москва;Владимирская область
00000000016281;Москва;Владимирская область
00000000016285;Москва;Владимирская область
00000000016286;Москва;Владимирская область
00000000016294;Москва;Московская область
00000000016303;Москва;Московская область
00000000016312;Москва;Московская область
00000000016316;Москва;Владимирская область
00000000016320;Москва;Московская область
00000000016667;Москва;Пермский край
00000000016670;РФ;Москва
